Date,Open,High,Low,Close,Adj Close,Volume
2010-01-11,16584.625000,16632.695313,15863.554688,16584.625000,10509.820313,11185970
2010-01-12,17209.552734,17257.625000,16536.552734,17209.552734,10905.845703,6474226
2010-01-13,17065.337891,17113.410156,16873.052734,17065.337891,10814.453125,3540568
2010-01-14,17594.123047,17594.123047,17257.625000,17594.123047,11149.550781,5474151
2010-01-15,17738.337891,17834.480469,17642.195313,17738.337891,11240.942383,4166720
2010-01-18,17546.052734,17642.195313,17497.980469,17594.123047,11149.550781,2674148
2010-01-19,17978.695313,17978.695313,17594.123047,17978.695313,11393.254883,5978609
2010-01-20,17642.195313,18122.908203,17449.910156,17642.195313,11180.013672,2965902
2010-01-21,17017.267578,17497.980469,16824.982422,17017.267578,10783.990234,10220739
2010-01-22,16632.695313,16824.982422,16344.267578,16632.695313,10540.284180,15339689
2010-01-25,16007.768555,16440.410156,15911.625977,16007.768555,10144.263672,12916210
2010-01-26,16103.911133,16200.053711,15863.554688,16055.839844,10174.723633,4842798
2010-01-27,16103.911133,16440.410156,15959.697266,16103.911133,10205.189453,3869766
2010-01-28,16536.552734,16680.767578,16248.125000,16536.552734,10479.357422,7450379
2010-01-29,16200.053711,16392.339844,16055.839844,16200.053711,10266.114258,5145473
2010-02-01,15911.625977,16103.911133,15719.339844,15911.625977,10083.334961,8586710
2010-02-02,15863.554688,16248.125000,15767.411133,15863.554688,10052.873047,5635890
2010-02-03,16007.768555,16200.053711,16007.768555,16007.768555,10144.263672,2347030
2010-02-04,15863.554688,16103.911133,15815.482422,15863.554688,10052.873047,2971622
2010-02-05,15334.769531,15575.125977,15238.625977,15334.769531,9717.775391,11711231
2010-02-08,14757.912109,15382.840820,14373.341797,14757.912109,9352.216797,11313385
2010-02-09,15046.340820,15094.412109,14517.555664,15046.340820,9534.995117,6679650
2010-02-10,15382.840820,15478.983398,15094.412109,15382.840820,9748.240234,8583590
2010-02-11,15334.769531,15527.054688,15190.554688,15334.769531,9717.775391,2819245
2010-02-12,15575.125977,15719.339844,15334.769531,15575.125977,9870.092773,3368428
2010-02-15,15334.769531,15478.983398,15286.697266,15334.769531,9717.775391,1098366
2010-02-16,15863.554688,15863.554688,15382.840820,15863.554688,10052.873047,2065678
2010-02-17,16200.053711,16296.196289,15911.625977,16200.053711,10266.114258,5669694
2010-02-18,16248.125000,16536.552734,16055.839844,16248.125000,10296.579102,9069846
2010-02-19,16392.339844,16392.339844,15911.625977,16392.339844,10387.967773,4130836
2010-02-22,16296.196289,16536.552734,16151.982422,16296.196289,10327.041016,3257135
2010-02-23,16632.695313,16632.695313,16200.053711,16632.695313,10540.284180,5804389
2010-02-24,16488.482422,16728.839844,16344.267578,16488.482422,10448.897461,3177046
